SgnDate,NewConfirmed,NewOverseasInput,NewCase
2020/1/11,0,0,0
2020/1/12,0,0,0
2020/1/13,0,0,0
2020/1/14,0,0,0
2020/1/15,0,0,0
2020/1/16,0,0,0
2020/1/17,0,0,0
2020/1/18,0,0,0
2020/1/19,0,0,0
2020/1/20,2,0,2
2020/1/21,7,0,7
2020/1/22,7,0,7
2020/1/23,4,0,4
2020/1/24,13,0,13
2020/1/25,7,0,7
2020/1/26,13,0,13
2020/1/27,13,0,13
2020/1/28,14,0,14
2020/1/29,21,0,21
2020/1/30,27,0,27
2020/1/31,25,0,25
2020/2/1,24,0,24
2020/2/2,16,0,16
2020/2/3,15,0,15
2020/2/4,25,0,25
2020/2/5,21,0,21
2020/2/6,15,0,15
2020/2/7,12,0,12
2020/2/8,11,0,11
2020/2/9,3,0,3
2020/2/10,7,0,7
2020/2/11,4,0,4
2020/2/12,7,0,7
2020/2/13,5,0,5
2020/2/14,8,0,8
2020/2/15,2,0,2
2020/2/16,3,0,3
2020/2/17,2,0,2
2020/2/18,0,0,0
2020/2/19,0,0,0
2020/2/20,1,0,1
2020/2/21,0,0,0
2020/2/22,1,0,1
2020/2/23,0,0,0
2020/2/24,0,0,0
2020/2/25,1,0,1
2020/2/26,1,0,1
2020/2/27,0,0,0
2020/2/28,0,0,0
2020/2/29,0,0,0
2020/3/1,0,0,0
2020/3/2,1,0,1
2020/3/3,0,0,0
2020/3/4,0,0,0
2020/3/5,1,1,0
2020/3/6,3,3,0
2020/3/7,0,0,0
2020/3/8,0,0,0
2020/3/9,0,0,0
2020/3/10,2,2,0
2020/3/11,0,0,0
2020/3/12,2,2,0
2020/3/13,4,4,0
2020/3/14,3,3,0
2020/3/15,2,2,0
2020/3/16,3,3,0
2020/3/17,3,3,0
2020/3/18,2,2,0
2020/3/19,8,8,0
2020/3/20,9,9,0
2020/3/21,14,14,0
2020/3/22,10,10,0
2020/3/23,10,9,1
2020/3/24,19,19,0
2020/3/25,18,18,0
2020/3/26,17,17,0
2020/3/27,17,17,0
2020/3/28,7,7,0
2020/3/29,6,6,0
2020/3/30,11,11,0
2020/3/31,7,7,0
2020/4/1,6,6,0
2020/4/2,4,4,0
2020/4/3,3,3,0
2020/4/4,2,2,0
2020/4/5,5,5,0
2020/4/6,2,2,0
2020/4/7,5,5,0
2020/4/8,9,9,0
2020/4/9,3,3,0
2020/4/10,0,0,0
2020/4/11,52,52,0
2020/4/12,11,11,0
2020/4/13,0,0,0
2020/4/14,4,4,0
2020/4/15,6,6,0
2020/4/16,0,0,0
2020/4/17,0,0,0
2020/4/18,7,7,0
2020/4/19,3,3,0
2020/4/20,0,0,0
2020/4/21,1,1,0
2020/4/22,1,1,0
2020/4/23,1,1,0
2020/4/24,0,0,0
2020/4/25,1,1,0
2020/4/26,0,0,0
2020/4/27,2,2,0
2020/4/28,1,1,0
2020/4/29,2,2,0
2020/4/30,5,5,0
2020/5/1,0,0,0
2020/5/2,1,1,0
2020/5/3,2,2,0
2020/5/4,1,1,0
2020/5/5,0,0,0
2020/5/6,1,1,0
2020/5/7,0,0,0
2020/5/8,0,0,0
2020/5/9,2,2,0
2020/5/10,0,0,0
2020/5/11,0,0,0
2020/5/12,1,1,0
2020/5/13,0,0,0
2020/5/14,0,0,0
2020/5/15,5,5,0
2020/5/16,0,0,0
2020/5/17,1,0,1
2020/5/18,0,0,0
2020/5/19,0,0,0
2020/5/20,1,0,1
2020/5/21,0,0,0
2020/5/22,0,0,0
2020/5/23,1,1,0
2020/5/24,0,0,0
2020/5/25,1,1,0
2020/5/26,1,1,0
2020/5/27,1,1,0
2020/5/28,0,0,0
2020/5/29,1,1,0
2020/5/30,0,0,0
2020/5/31,0,0,0
2020/6/1,1,1,0
2020/6/2,0,0,0
2020/6/3,0,0,0
2020/6/4,4,4,0
2020/6/5,0,0,0
2020/6/6,0,0,0
2020/6/7,1,1,0
2020/6/8,0,0,0
2020/6/9,0,0,0
2020/6/10,6,6,0
2020/6/11,5,5,0
2020/6/12,1,1,0
2020/6/13,1,1,0
2020/6/14,1,1,0
2020/6/15,3,3,0
2020/6/16,0,0,0
2020/6/17,2,2,0
2020/6/18,0,0,0
2020/6/19,1,1,0
2020/6/20,0,0,0
2020/6/21,3,3,0
2020/6/22,0,0,0
2020/6/23,2,2,0
2020/6/24,0,0,0
2020/6/25,2,2,0
2020/6/26,1,1,0
2020/6/27,1,1,0
2020/6/28,1,1,0
2020/6/29,4,3,1
2020/6/30,0,0,0
2020/7/1,1,1,0
2020/7/2,1,1,0
2020/7/3,1,1,0
2020/7/4,1,1,0
2020/7/5,0,0,0
2020/7/6,2,2,0
2020/7/7,0,0,0
2020/7/8,3,3,0
2020/7/9,1,1,0
2020/7/10,0,0,0
2020/7/11,2,2,0
2020/7/12,1,1,0
2020/7/13,3,3,0
2020/7/14,3,3,0
2020/7/15,1,1,0
2020/7/16,1,1,0
2020/7/17,0,0,0
2020/7/18,0,0,0
2020/7/19,0,0,0
2020/7/20,2,2,0
2020/7/21,2,2,0
2020/7/22,1,1,0
2020/7/23,1,1,0
2020/7/24,2,2,0
2020/7/25,0,0,0
2020/7/26,0,0,0
2020/7/27,2,2,0
2020/7/28,1,1,0
2020/7/29,0,0,0
2020/7/30,0,0,0
2020/7/31,4,4,0
2020/8/1,1,1,0
2020/8/2,0,0,0
2020/8/3,1,1,0
2020/8/4,2,2,0
2020/8/5,5,5,0
2020/8/6,7,7,0
2020/8/7,2,2,0
2020/8/8,2,2,0
2020/8/9,18,18,0
2020/8/10,8,8,0
2020/8/11,4,4,0
2020/8/12,2,2,0
2020/8/13,16,16,0
2020/8/14,4,4,0
2020/8/15,5,5,0
2020/8/16,3,3,0
2020/8/17,14,14,0
2020/8/18,8,8,0
2020/8/19,1,1,0
2020/8/20,11,11,0
2020/8/21,13,13,0
2020/8/22,0,0,0
2020/8/23,5,5,0
2020/8/24,2,2,0
2020/8/25,4,4,0
2020/8/26,2,2,0
2020/8/27,3,3,0
2020/8/28,3,3,0
2020/8/29,3,3,0
2020/8/30,6,6,0
2020/8/31,1,1,0
2020/9/1,4,4,0
2020/9/2,0,0,0
2020/9/3,5,5,0
2020/9/4,3,3,0
2020/9/5,2,2,0
2020/9/6,4,4,0
2020/9/7,0,0,0
2020/9/8,1,1,0
2020/9/9,6,6,0
2020/9/10,8,8,0
2020/9/11,2,2,0
2020/9/12,3,3,0
2020/9/13,5,5,0
2020/9/14,1,1,0
2020/9/15,2,2,0
2020/9/16,4,4,0
2020/9/17,12,12,0
2020/9/18,2,2,0
2020/9/19,4,4,0
2020/9/20,2,2,0
2020/9/21,1,1,0
2020/9/22,0,0,0
2020/9/23,2,2,0
2020/9/24,4,4,0
2020/9/25,0,0,0
2020/9/26,1,1,0
2020/9/27,10,10,0
2020/9/28,5,5,0
2020/9/29,2,2,0
2020/9/30,7,7,0
2020/10/1,1,1,0
2020/10/2,4,4,0
2020/10/3,1,1,0
2020/10/4,10,10,0
2020/10/5,2,2,0
2020/10/6,1,1,0
2020/10/7,5,5,0
2020/10/8,6,6,0
2020/10/9,2,2,0
2020/10/10,10,10,0
2020/10/11,5,5,0
2020/10/12,3,3,0
2020/10/13,5,5,0
2020/10/14,3,3,0
2020/10/15,11,11,0
2020/10/16,5,5,0
2020/10/17,5,5,0
2020/10/18,5,5,0
2020/10/19,5,5,0
2020/10/20,2,2,0
2020/10/21,8,8,0
2020/10/22,9,9,0
2020/10/23,9,9,0
2020/10/24,5,5,0
2020/10/25,11,11,0
2020/10/26,3,3,0
2020/10/27,7,7,0
2020/10/28,6,6,0
2020/10/29,13,13,0
2020/10/30,8,8,0
2020/10/31,5,5,0
2020/11/1,6,6,0
2020/11/2,9,9,0
2020/11/3,4,4,0
2020/11/4,8,8,0
